id.coral	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	kinase.group	kinase.family	kinase.subfamily	branch.coords	branch.val	branch.group	branch.col	node.x	node.y	node.group	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.font	text.size	text.label	ode.opacity	node.selected	nodeorder	branchorder
LMWPTPV	.	.	.	.	.	.	.	.	"M189.44,1011.747c0.667-0.545,1.374-0.658,2.059-0.455c1.608,0.478,2.382,2.63,0.837,3.939c-22.794,17.291-27.518-5.314-45.004,11.286c-0.044,0.034-0.084,0.072-0.131,0.102c-0.271,0.17-0.643,0.161-0.905-0.021c-0.393-0.273-0.447-0.796-0.207-1.144c0.032-0.045,0.072-0.084,0.108-0.126C164.306,1007.917,170.244,1029.154,189.44,1011.747z"	.	.	.	140.918	1031.793.	.	.	.	.	.	.	.	109.6436	1035.3961	.	.	.	.	.	.	.
SSU72	.	.	.	.	.	.	.	.	"M191.205,1011.221c0.216,0.036,0.423,0.105,0.627,0.165c22.727,6.602,11.668,23.811,32.125,25.272c0.055,0.009,0.11,0.013,0.164,0.027c0.486,0.131,0.757,0.691,0.522,1.158c-0.118,0.237-0.358,0.411-0.621,0.45c-0.054,0.008-0.111,0.004-0.167,0.005c-18.406-1.062-14.425-14.365-26.113-20.294c-3.583-1.818-6.55-2.078-7.55-2.369c-0.632-0.183-1.157-0.683-1.39-1.3c-0.538-1.424,0.439-3.011,1.874-3.13C190.846,1011.189,191.023,1011.19,191.205,1011.221z"	.	.	.	232.246	1037.668.	.	.	.	.	.	.	.	228.6932	1040.8831	.	.	.	.	.	.	.
ILKAP	.	.	.	.	.	.	.	.	"M304.227,788.959c29.776,10.377,39.164,23.935,52.028,32.09c8.522,5.405,15.424,6.198,16.609,6.565c1.125,0.347,1.845,1.615,1.424,2.878c-0.234,0.702-0.823,1.276-1.537,1.472c-0.431,0.118-0.726,0.088-1.107,0.012c-27.265-6.892-28.245-26.847-66.234-40.841c-0.126-0.046-1.777-0.634-1.878-0.695c-0.36-0.216-0.527-0.718-0.282-1.128c0.109-0.182,0.293-0.318,0.498-0.371C303.933,788.892,304.072,788.922,304.227,788.959z"	.	.	.	296.016	787.655.	.	.	.	.	.	.	.	276.9664	789.7709	.	.	.	.	.	.	.
PPTC7	.	.	.	.	.	.	.	.	"M331.93,764.087c0.137,0.074,0.16,0.118,0.249,0.21c20.178,25.462,13.937,47.743,34.958,61.856c0.051,0.034,0.117,0.046,0.179,0.065c2.711,0.845,5.547,1.394,5.547,1.394c1.127,0.347,1.844,1.618,1.424,2.878c-0.233,0.702-0.823,1.276-1.537,1.472c-0.632,0.173-1.013,0.039-1.615-0.119c-2.208-0.579-3.799-1.116-5.585-1.775c-0.178-0.077-0.353-0.149-0.539-0.283c-20.719-15.23-15.022-35.493-29.978-58.673c-1.985-3.077-4.233-5.939-4.233-5.939c-0.144-0.286-0.1-0.656,0.106-0.899c0.036-0.042,0.08-0.077,0.119-0.115c0.232-0.149,0.214-0.134,0.447-0.174C331.645,763.992,331.765,763.996,331.93,764.087z"	.	.	.	326.234	758.403.	.	.	.	.	.	.	.	314.3216	760.8401	.	.	.	.	.	.	.
PDP1	.	.	.	.	.	.	.	.	"M356.384,741.194c0.206,0.08,0.263,0.162,0.377,0.297c4.482,6.455,5.668,10.11,6.489,15.922c0.571,4.041,0.81,8.172,1.884,11.956c1.2,4.23,3.825,7.996,5.311,12.307c4.516,13.095-5.324,25.206-1.107,41.626c0.276,1.113,0.534,2.701,0.991,3.728c0.022,0.049,2.48,0.568,2.535,0.585c0.7,0.219,1.263,0.809,1.461,1.52c0.348,1.246-0.41,2.508-1.575,2.83c-0.431,0.118-0.723,0.087-1.107,0.012c-1.146-0.285-1.998-0.528-3.024-0.837c-2.473-0.752-2.843-4.345-3.313-6.902c-2.623-12.262,1.608-21.884,3.089-30.346c2.042-11.407-1.84-13.986-4.638-22.106c-2.481-7.201-1.271-15.094-4.186-22.076c-1.082-2.59-2.575-4.98-4.161-7.281c-0.026-0.049-0.058-0.095-0.08-0.146C355.049,741.625,355.698,740.925,356.384,741.194z"	.	.	.	350.91	735.068.	.	.	.	.	.	.	.	338.3755	737.4514	.	.	.	.	.	.	.
PDP2	.	.	.	.	.	.	.	.	"M375.411,741.422c-0.18,0.234-1.149,2.426-1.265,2.698c-5.684,13.273-0.233,16.336-2.501,26.755c-0.52,2.389-1.377,4.689-2.434,6.886c-0.067,0.14-0.888,2.155-1.152,2.697c-0.228,0.471-0.322,0.666-0.132,1.244c0.387,1.178,0.568,2.013,0.57,2.013c0.583,2.618,0.702,5.719-0.103,10.174c-1.526,8.454-5.712,18.084-3.088,30.346c0.47,2.557,0.84,6.15,3.313,6.902c1.026,0.309,1.878,0.552,3.024,0.837c0.384,0.075,0.676,0.107,1.107-0.012c1.165-0.322,1.922-1.584,1.575-2.83c-0.198-0.711-0.761-1.301-1.461-1.52c-0.054-0.017-2.513-0.536-2.535-0.585c-0.457-1.026-0.715-2.615-0.991-3.728c-4.217-16.42,5.623-28.531,1.107-41.626c0,0-0.03-0.071-0.156-0.429c0.422-1,0.538-1.543,1.059-2.724c1.855-4.227,2.925-8.606,2.789-13.298c-0.202-6.898-3.161-10.905,2.608-22.825c0.034-0.07,0.09-0.181,0.112-0.27C377.08,741.269,375.953,740.719,375.411,741.422z"	.	.	.	379.619	734.181.	.	.	.	.	.	.	.	370.189	736.5316	.	.	.	.	.	.	.
PPM1E	.	.	.	.	.	.	.	.	"M336.109,827.56c18.991,1.247,22.977-1.976,30.429-1.544c0.333,0.047,0.211,0.022,0.536,0.111c2.762,0.893,5.789,1.487,5.789,1.487c0.977,0.304,1.664,1.306,1.528,2.418c-0.163,1.299-1.328,2.158-2.522,1.988c-0.428-0.061-3.298-0.822-5.965-1.801c-3.074-0.26-6.306,0.27-9.641,0.608c-18.904,1.918-37.137-4.07-48.257-3.086c-3.998,0.354-7.286,2.158-11.158,3.074c-4.026,0.953-7.735,0.911-11.838,0.77c-0.056-0.007-0.113-0.008-0.164-0.023c-0.486-0.112-0.776-0.657-0.558-1.141c0.112-0.242,0.347-0.423,0.608-0.467c0.1-0.018,0.168-0.013,0.261-0.009c5.377,0.162,9.023,0.06,13.546-1.466c2.946-0.996,5.67-2.238,8.854-2.619C315.217,824.947,322.573,826.708,336.109,827.56z"	.	.	.	276.688	829.914.	.	.	.	.	.	.	.	255.8192	832.6691	.	.	.	.	.	.	.
PP2D1	.	.	.	.	.	.	.	.	"M372.562,827.54c57.179,12.26,34.473,27.504,73.717,39.61c0.05,0.02,0.105,0.038,0.153,0.064c0.439,0.235,0.584,0.83,0.243,1.245c-0.17,0.204-0.441,0.321-0.706,0.297c-0.055-0.005-0.109-0.022-0.163-0.032c-35.484-10.58-22.258-24.169-58.433-33.52c-7.832-2.014-15.877-3.261-15.877-3.261c-1.152-0.314-1.899-1.568-1.524-2.827c0.25-0.853,0.992-1.52,1.914-1.613C372.172,827.475,372.343,827.505,372.562,827.54z"	.	.	.	454.408	869.493.	.	.	.	.	.	.	.	450.4418	872.4626	.	.	.	.	.	.	.
PPM1L	.	.	.	.	.	.	.	.	"M373.16,827.664c4.586,0.995,5.476,1.138,7.045,2.147c5.609,3.607,10.155,16.071,16.202,22.816c7.735,8.707,14.962,8.735,20.827,13.412c6.371,5.077,6.785,13.423,12.81,20.239c0.032,0.045,0.069,0.086,0.096,0.134c0.244,0.423,0.069,1.012-0.448,1.189c-0.297,0.103-0.638,0.039-0.913-0.271c-5.993-6.766-6.776-14.911-12.325-19.415c-5.642-4.581-13.195-4.256-22.058-13.176c-2.172-2.186-4.134-4.903-5.856-7.475c-6.774-10.454-9.058-13.968-12.044-14.471c-0.165-0.028-4.838-0.808-4.999-0.851c-1.132-0.309-1.901-1.542-1.524-2.827c0.256-0.87,1.009-1.527,1.914-1.618C372.314,827.454,372.723,827.569,373.16,827.664z"	.	.	.	434.956	893.169.	.	.	.	.	.	.	.	430.4894	896.0732	.	.	.	.	.	.	.
TAB1	.	.	.	.	.	.	.	.	"M374.37,830.257c-0.097,0.435-0.262,0.678-0.509,0.983c-2.171,2.401-4.196,5.276-7.072,7.432c-5.318,3.983-12.356,6.641-17.391,11.093c-6.445,5.695-11.151,13.068-14.859,18.776c-3.927,6.046-5.854,7.891-8.84,10.135c-3.526,2.653-7.591,4.855-10.663,8.014c-0.043,0.035-0.083,0.073-0.128,0.105c-0.265,0.182-0.637,0.185-0.907,0.013c-0.398-0.263-0.475-0.779-0.249-1.134c0.046-0.071,0.104-0.129,0.158-0.188c3.865-3.969,9.003-6.382,12.898-10.041c5.638-5.303,8.806-14.864,17.765-25.038c4.231-4.814,7.377-6.784,12.836-10.189c9.364-5.844,8.216-6.039,13.013-11.925c0.137-0.151,0.165-0.195,0.323-0.322C372.38,826.65,374.827,828.207,374.37,830.257z"	.	.	.	309.001	892.158.	.	.	.	.	.	.	.	295.0341	894.6321	.	.	.	.	.	.	.
PPM1K	.	.	.	.	.	.	.	.	"M375.481,828.18c2.198,0.474,3.308,2.194,4.134,4.198c2.575,6.247,3.267,12.42,4.687,18.561c2.017,8.786,4.62,12.946,10.654,21.174c3.034,4.135,6.116,8.278,8.353,12.957c2.73,5.713,1.65,13.38,5.397,17.962c0.032,0.049,0.067,0.092,0.093,0.14c0.223,0.424,0.03,1.02-0.494,1.17c-0.254,0.076-0.546,0.017-0.751-0.148c-0.256-0.209-1.184-1.45-1.871-3.01c-1.77-4.02-1.814-8.794-3.089-12.929c-1.116-3.618-4.479-8.338-6.763-11.336c-3.904-5.122-8.169-9.947-11.201-15.743c-4.401-8.408-4.885-18.105-8.421-26.183c-0.493-1.128-0.819-2.029-1.58-2.514c-0.178-0.03-2.96-0.487-3.134-0.534c-0.707-0.193-1.29-0.763-1.514-1.468c-0.412-1.298,0.378-2.91,2.116-2.993C372.585,827.506,375.004,828.073,375.481,828.18z"	.	.	.	412.897	910.572.	.	.	.	.	.	.	.	408.431	913.6982	.	.	.	.	.	.	.
